"icao","elevation_ft","heading_deg","frequency_mhz","range_nm","ident","runway"
"KMBL","617","277.43222","108.35","27","IMBL","ILS RW28"
"KOSC","619","245.06247","108.5","27","ILJU","ILS RW25"
"KMKG","626","240.26694","109.5","27","ICJH","ILS RW24"
"KMKG","623","321.4681","109.9","27","IMKG","ILS RW32"
"KAZO","862","354.12527","110.9","27","IAZO","ILS RW35"
"KBIV","670","263.714","110.55","27","IBIV","ILS RW26"
"KGRR","784","357.35944","111.9","27","IDVS","ILS RW35"
"KGRR","789","87.2519","108.3","27","ICYZ","ILS RW08R"
"KGRR","786","267.2519","109.7","27","IGRR","ILS RW26L"
"KBTL","928","226.49306","110.5","27","IBTL","ILS RW23R"
"KJXN","986","254.2","109.1","27","IJXN","ILS RW25"
"KLAN","850","95.58979","111.7","27","ICPQ","ILS RW10R"
"KLAN","847","275.58978","110.1","27","ILAN","ILS RW28L"
"KFNT","762","94.21014","109.9","27","IFNT","ILS RW09"
"KFNT","766","274.21014","109.9","27","ITUN","ILS RW27"
"KHYX","596","276.94455","111.35","27","IHQW","ILS RW28"
"KMBS","651","232.52196","108.7","27","ITQR","ILS RW23"
"KMBS","662","53","108.7","27","IMBS","ILS RW05"
"KPHN","642","43.02341","110.9","27","IPHN","ILS RW04"
"KOZW","943","132.441","108.55","27","IOGO","ILS RW13"
"KYIP","713","53.587723","109.5","27","IYIP","ILS RW05"
"KYIP","703","233.58772","109.5","27","ILSW","ILS RW23"
"CYQG","622","250","110.3","27","IQG","ILS RW25"
"KDET","623","148.44443","111.3","27","IDET","ILS RW15"
"KDET","623","328.44443","111.3","27","IVQM","ILS RW33"
"KDTW","630","35.618595","111.5","27","IHUU","ILS RW03R"
"KDTW","641","35.591805","111.95","27","IHJT","ILS RW04L"
"KDTW","633","35.598278","110.7","27","IDTW","ILS RW04R"
"KDTW","629","215.61859","111.5","27","IEJR","ILS RW21L"
"KDTW","636","215.59828","110.7","27","IDWC","ILS RW22L"
"KDTW","637","215.5918","111.95","27","IJKI","ILS RW22R"
"KDTW","626","275.68646","110.15","27","IEPA","ILS RW27L"
"KDTW","629","275.67648","108.5","27","IDMI","ILS RW27R"
"KDTW","641","38.2","111.75","27","IALA","ILS RW04L"
"KDTW","637","213.2","111.75","27","IBZB","ILS RW22R"
"KMTC","575","187","110.1","27","IMTC","ILS RW19"
"KMTC","577","7","110.1","27","IRFB","ILS RW01"
"KPTK","975","94.60835","111.1","27","IPTK","ILS RW09R"
"KEKM","773","273.88525","111.5","27","IOUP","ILS RW27"
"KGSH","825","273.27576","108.3","27","IGSH","ILS RW27"
"KASW","841","271.8262","111.55","27","IASW","ILS RW27"
"KGWB","878","274.31482","108.75","27","IGWB","ILS RW27"
"KFWA","806","50.13913","111.9","27","IHVD","ILS RW05"
"KFWA","793","320.87033","109.9","27","IFWA","ILS RW32"
"KTOL","678","72.11189","109.7","27","ITOL","ILS RW07"
"KTOL","665","252.1119","108.7","27","IBQE","ILS RW25"
"KMFD","1291","323.07242","110.5","27","IMFD","ILS RW32"
"KAID","909","298.10754","110.1","27","IAID","ILS RW30"
"KGUS","802","46","109.5","27","IGUS","ILS RW05"
"KGUS","796","226","109.5","27","IRSM","ILS RW23"
"KMIE","932","319.218","109.1","27","IJNK","ILS RW32"
"KMZZ","850","40.446533","111.7","27","IMZZ","ILS RW04"
"KOKK","822","229.7964","108.9","27","IOKK","ILS RW23"
"KMQJ","854","251.95384","108.7","27","IMQJ","ILS RW25"
"KCEV","862","184.54265","108.35","27","ISQK","ILS RW18"
"KMWO","651","233","111.1","27","IMWO","ILS RW23"
"KAOH","963","276.0234","109.3","27","IAOH","ILS RW28"
"KOSU","903","92.05005","108.5","27","IOSU","ILS RW09R"
"KDAY","992","61.222183","108.9","27","IATD","ILS RW06L"
"KDAY","987","184.51723","108.3","27","IDAY","ILS RW18"
"KDAY","1000","241.24121","110.3","27","IEGK","ILS RW24L"
"KDAY","992","241.22218","111.9","27","IVUQ","ILS RW24R"
"KFFO","798","53","109.7","27","IFAE","ILS RW05L"
"KFFO","820","233","109.7","27","IFFO","ILS RW23R"
"KILN","1053","44.179626","110.7","27","IHWM","ILS RW04L"
"KILN","1037","44.212135","109.35","27","IIYV","ILS RW04R"
"KILN","1068","224.21214","109.35","27","IRHX","ILS RW22L"
"KILN","1068","224.17963","110.7","27","IILN","ILS RW22R"
"KMGY","957","206.17581","109.5","27","IMGY","ILS RW20"
"KCMH","810","101.19401","109.1","27","ICBP","ILS RW10L"
"KCMH","803","101.18989","111.75","27","IAQI","ILS RW10R"
"KCMH","811","281.18988","111.75","27","ICMH","ILS RW28L"
"KCMH","808","281.194","109.1","27","IONB","ILS RW28R"
"KLCK","741","52.182823","110.55","27","IFQS","ILS RW05L"
"KLCK","739","232.1899","110.1","27","ILCK","ILS RW23L"
"KLCK","740","52","110.1","27","IDDV","ILS RW05R"
"KTZR","899","37","111.7","27","IBUZ","ILS RW04"
"KBAK","652","227.94246","110.7","27","IBAK","ILS RW23"
"KCVG","873","96.12502","111.9","27","IURN","ILS RW09"
"KCVG","868","186.18399","111.55","27","ISIC","ILS RW18C"
"KCVG","881","186.17888","110.15","27","ICIZ","ILS RW18L"
"KCVG","861","186.14354","110.75","27","ICJN","ILS RW18R"
"KCVG","866","276.12503","108.7","27","IJDP","ILS RW27"
"KCVG","834","6.1839895","109.9","27","ICVG","ILS RW36C"
"KCVG","867","6.1435437","110.75","27","IVAC","ILS RW36L"
"KCVG","890","6.1788855","110.35","27","IEEI","ILS RW36R"
"KHAO","612","295.47635","109.75","27","IRQF","ILS RW29"
"KLUK","470","204.90259","110.9","27","ILUK","ILS RW21L"
"KJVY","468","181.9441","111.7","27","IJVY","ILS RW18"
"KSDF","490","169.9615","111.95","27","IPKI","ILS RW17L"
"KSDF","479","170.46443","110.3","27","ISNU","ILS RW17R"
"KSDF","458","350.46445","109.35","27","IRLI","ILS RW35L"
"KSDF","469","349.9615","110.55","27","IJJM","ILS RW35R"
"KSDF","501","297","109.1","27","ILKS","ILS RW29"
"KFFT","812","248.81386","109.95","27","IFFT","ILS RW25"
"KLEX","949","45.399853","110.1","27","ILEX","ILS RW04"
"KLEX","974","225.39986","111.75","27","IGNJ","ILS RW22"
"KHTS","823","118.444626","109.9","27","IHTS","ILS RW12"
"KHTS","824","298.4446","108.7","27","ITUU","ILS RW30"
"KEKX","751","49.525185","109.75","27","IADR","ILS RW05"
"KFTK","746","181","108.95","27","IFTK","ILS RW18"
"KDVK","1022","305","108.9","27","IPQQ","ILS RW31"
"KSME","918","47.776855","109.3","27","ISME","ILS RW05"
"KCPF","1256","145","109.35","27","ICPF","ILS RW14"
"KPBX","1460","274.05594","109.7","27","IPBX","ILS RW27"
"KLOZ","1202","57.266384","110.9","27","ILOZ","ILS RW06"
"KBYL","1178","200","108.3","27","IBYL","ILS RW20"
"KLNP","2684","242.09981","110.7","27","IOWN","ILS RW24"
"KSRB","1010","38","110.1","27","ISRB","ILS RW04"
"KCSV","1866","255.33714","109.1","27","ICSV","ILS RW26"
"KDKX","833","260.0164","111.3","27","IDKX","ILS RW26"
"KMOR","1313","53.312523","109.5","27","IMOR","ILS RW05"
"KMOR","1313","53","109.5","27","MOR","ILS RW05"
"KTYS","965","230.77391","110.75","27","IOXH","ILS RW23L"
"KTYS","975","230.8","111.7","27","IBUI","ILS RW23R"
"KTYS","930","50.8","110.75","27","ITYS","ILS RW05L"
"KAVL","2161","166.84828","110.9","27","IIMO","ILS RW17"
"KAVL","2119","346.84827","110.5","27","IAVL","ILS RW35"
"KCHA","674","21.607857","108.3","27","ICGW","ILS RW02"
"KCHA","663","201.60786","109.5","27","ICHA","ILS RW20"
"KCZL","656","353","110.7","27","ICZL","ILS RW35"
"KDNN","704","140.58192","110.9","27","IDNN","ILS RW14"
"KGAD","551","243.6414","108.35","27","IGAD","ILS RW24"
"KFTY","800","84.65105","109.1","27","IFTY","ILS RW08"
"KMGE","1046","109","109.7","27","IDJR","ILS RW11"
"KMGE","995","289","111.35","27","IVRW","ILS RW29"
"KRMG","628","6.917514","111.15","27","IHBQ","ILS RW01"
"KRYY","995","272.71866","111.9","27","IRYY","ILS RW27"
"KPUJ","1271","311.15842","109.15","27","IPUJ","ILS RW31"
"KAND","748","50.70257","111.9","27","IAND","ILS RW05"
"KGVL","1273","43.864517","110.55","27","IGVL","ILS RW05"
"KLZU","1030","249","109.95","27","ITXP","ILS RW25"
"KPDK","984","205.40395","111.1","27","IPDK","ILS RW21L"
"KWDR","912","316.4","111.5","27","IIDR","ILS RW31"
"KAHN","800","274.26688","110.95","27","IAHN","ILS RW27"
"KANB","591","52.31352","111.5","27","IANB","ILS RW05"
"KASN","508","38.269337","109.95","27","IASN","ILS RW04"
"KATL","1002","94.96409","109.3","27","IHFW","ILS RW08L"
"KATL","1005","94.96422","109.9","27","IATL","ILS RW08R"
"KATL","1015","94.98278","110.5","27","IHZK","ILS RW09L"
"KATL","1019","94.9641","108.9","27","IFUN","ILS RW09R"
"KATL","985","94.95112","111.55","27","IOMO","ILS RW10"
"KATL","994","274.9642","108.7","27","IBRU","ILS RW26L"
"KATL","984","274.96408","110.1","27","IGXZ","ILS RW26R"
"KATL","987","274.9641","108.5","27","IFSQ","ILS RW27L"
"KATL","978","274.9828","111.3","27","IAFA","ILS RW27R"
"KATL","989","274.9511","111.75","27","IPKU","ILS RW28"
"KCCO","932","322","110.75","27","ICCO","ILS RW33"
"KCTJ","1114","348","111.7","27","ICTJ","ILS RW35"
"KFFC","792","313","111.95","27","IFFC","ILS RW31"
"KAUO","736","5.0004487","110.1","27","IAUO","ILS RW36"
"KCSG","382","55.698315","110.3","27","ICSG","ILS RW06"
"KLGC","677","310.859","110.9","27","IGNK","ILS RW31"
"3J7""","689","249.02304","110.9","27","IVVM","ILS RW25"
"KHQU","454","96.651215","110.75","27","IAAQ","ILS RW10"
"KMAC","437","104.5","111.9","27","IMAC","ILS RW10"
"KMCN","335","53.889107","109.5","27","IMCN","ILS RW05"
"KOPN","791","300.7627","109.75","27","IOPN","ILS RW30"
"KPXE","408","2.457457","109.15","27","IPXE","ILS RW36"
"KWRB","285","146","111.7","27","IRJM","ILS RW15"
"KWRB","263","326","110.1","27","IWRB","ILS RW33"
"KDBN","292","20.222849","109.1","27","IDBN","ILS RW02"
"KTOI","383","73.39273","108.9","27","ITOI","ILS RW07"
"KLSF","222","327","110.7","27","ILSF","ILS RW33"
"KDHN","396","138.10123","110.75","27","IODA","ILS RW14"
"KDHN","371","318.10123","108.3","27","IDHN","ILS RW32"
"KOZR","293","64","109.7","27","IOZR","ILS RW06"
"KBGE","127","273.66296","111.35","27","IBGE","ILS RW27"
"KACJ","461","228.68474","110.5","27","IACJ","ILS RW23"
"KCKF","310","103.60611","108.9","27","ICKF","ILS RW10"
"KEZM","289","19.285763","109.55","27","IHUV","ILS RW02"
"KFZG","365","16.81355","111.1","27","IFQR","ILS RW02"
"KABY","194","46.96308","108.5","27","IABY","ILS RW05"
"KTMA","341","332.55176","109.7","27","ITMA","ILS RW34"
"KDQH","245","43","108.7","27","IDQH","ILS RW04"
"KVAD","203","3","109.9","27","IMDG","ILS RW36R"
"KVAD","225","183","109.3","27","IVAD","ILS RW18L"
"KECP","64","162.45311","111.15","27","IPUK","ILS RW16"
"KPAM","9","319","110.1","27","IPAM","ILS RW32R"
"KPAM","11","138","111.5","27","ITYF","ILS RW14L"
"KTLH","42","274.44608","111.9","27","IPLQ","ILS RW27"
"KTLH","53","4.510812","110.3","27","ITLH","ILS RW36"
"KTVI","236","224.72029","110.1","27","ITVI","ILS RW22"
"KVLD","194","355.88782","110.9","27","IVLD","ILS RW35"
"KMCF","11","229","111.7","27","IGBZ","ILS RW23"
"KMCF","5","42","109.5","27","IMCF","ILS RW05"
"KPIE","4","176.34402","109.1","27","IPIE","ILS RW18"
"KPIE","10","356.34402","108.7","27","ICWT","ILS RW36"
"KTPA","8","6.709506","108.9","27","IAMP","ILS RW01L"
"KTPA","26","6.7092133","111.95","27","ITWJ","ILS RW01R"
"KTPA","24","186.70921","110.3","27","ITPA","ILS RW19L"
"KTPA","17","186.7095","108.5","27","IJRT","ILS RW19R"
"KSRQ","20","139.54567","111.3","27","IFFV","ILS RW14"
"KSRQ","22","319.5457","109.7","27","ISRQ","ILS RW32"
"MNMG","243","97.51052","109.1","27","IMGA","ILS RW10"
"MRLB","305","70.978004","111.3","27","IGUA","ILS RW07"
"MROC","2963","71.20233","109.5","27","IOCO","ILS RW07"
"CYTS","962","31.127798","109.7","27","ITS","ILS RW03"
"CYUY","988","76.50491","109.9","27","IUY","ILS RW08"
"CYSB","1137","219.46004","110.3","27","ISB","ILS RW22"
"CYYB","1168","76.24274","110.9","27","IYB","ILS RW08"
"CYKZ","650","153.06476","111.1","27","IKZ","ILS RW15"
"CYTZ","249","85","110.15","27","ITZ","ILS RW08"
"CYTZ","252","265","110.15","27","ICR","ILS RW26"
"CYYZ","560","56.407883","109.7","27","ITX","ILS RW05"
"CYYZ","527","56.453392","109.1","27","IJS","ILS RW06L"
"CYYZ","538","56.442616","111.95","27","ICV","ILS RW06R"
"CYYZ","555","146.6455","110.5","27","IRW","ILS RW15L"
"CYYZ","548","146.60811","110.95","27","ILP","ILS RW15R"
"CYYZ","556","236.40788","111.5","27","IYZ","ILS RW23"
"CYYZ","547","236.44261","111.95","27","IDP","ILS RW24L"
"CYYZ","543","236.45338","109.3","27","INV","ILS RW24R"
"CYYZ","547","326.60812","110.95","27","ITO","ILS RW33L"
"CYYZ","550","326.64548","110.3","27","ILE","ILS RW33R"
"CYXU","911","147.89404","109.5","27","IXU","ILS RW15"
"CYHM","772","117.251976","110.9","27","IAB","ILS RW12"
"CYHM","780","297.25198","110.9","27","IER","ILS RW30"
"CYKF","1037","255.09485","110.7","27","IKF","ILS RW26"
"KIAG","583","280.10052","110.1","27","IIAG","ILS RW28R"
"KBKL","580","244.81392","109.75","27","IBFT","ILS RW24R"
"KCGF","864","237.36276","111.1","27","ICGF","ILS RW24"
"KCLE","764","57.76952","111.55","27","ILIZ","ILS RW06L"
"KCLE","766","57.802135","111.9","27","ICLE","ILS RW06R"
"KCLE","782","237.80214","109.9","27","IHPI","ILS RW24L"
"KCLE","768","237.76952","111.55","27","IPVY","ILS RW24R"
"KCLE","786","281.32797","110.7","27","IPXP","ILS RW28"
"KLPR","790","72.91089","111.7","27","ILQG","ILS RW07"
"KAKR","1068","248.81749","110.9","27","IAKR","ILS RW25"
"KCAK","1199","9.452358","109.5","27","ICAK","ILS RW01"
"KCAK","1181","54.548306","108.3","27","IEQX","ILS RW05"
"KCAK","1210","189.45236","109.5","27","IRGO","ILS RW19"
"KCAK","1218","234.54831","108.3","27","IGGZ","ILS RW23"
"KYNG","1109","143.11438","110.1","27","IMQK","ILS RW14"
"KYNG","1172","323.11438","110.1","27","IYNG","ILS RW32"
"KERI","730","64.410934","110.3","27","IERI","ILS RW06"
"KERI","721","244.41093","110.3","27","IAWY","ILS RW24"
"KGKJ","1399","249.13976","108.5","27","IGKJ","ILS RW25"
"KJHW","1707","248.8588","109.7","27","IJHW","ILS RW25"
"KFKL","1533","207.19167","110.5","27","IFKL","ILS RW21"
"KDUJ","1809","252.34607","109.9","27","IDUJ","ILS RW25"
"KHLG","1156","33.021793","109.7","27","IHLG","ILS RW03"
"KVTA","884","92.97611","110.9","27","IRXK","ILS RW09"
"KZZV","873","219.78868","109.95","27","ITNF","ILS RW22"
"KAFJ","1168","272.97537","110.3","27","IAFJ","ILS RW27"
"KAGC","1251","98.89498","109.1","27","ISAQ","ILS RW10"
"KAGC","1248","280.9","109.1","27","IAGC","ILS RW28"
"KBTP","1230","79.89811","111.5","27","IBTP","ILS RW08"
"KBVI","1253","101.04178","109.3","27","IBVI","ILS RW10"
"KPIT","1195","100.94121","111.7","27","ILXB","ILS RW10L"
"KPIT","1129","100.9535","108.9","27","IGUT","ILS RW10R"
"KPIT","1120","280.9535","108.9","27","IPFS","ILS RW28L"
"KPIT","1171","280.9412","111.7","27","IHFE","ILS RW28R"
"KPIT","1112","325.50894","111.3","27","ITQW","ILS RW32"
"KJST","2259","334","110.1","27","IJST","ILS RW33"
"KLBE","1130","235.63289","110.9","27","ILBE","ILS RW24"
"KMGW","1234","181.35052","108.5","27","IMGW","ILS RW18"
"KCBE","775","227.5","110.5","27","ICBE","ILS RW23"
"KVVS","1264","49","110.7","27","IVVS","ILS RW05"
"KUNI","757","246.53403","108.75","27","IUNI","ILS RW25"
"KPKB","805","27.1","110.7","27","IPKB","ILS RW03"
"KCRW","943","52.9318","110.3","27","IHCV","ILS RW05"
"KCRW","906","234.6","110.3","27","ICRW","ILS RW23"
"KCKB","1204","210.76866","109.3","27","ICKB","ILS RW21"
"W99""","963","285.3","111.5","27","IIYQ","ILS RW31"
"KSHD","1172","47.050667","109.5","27","ISHD","ILS RW05"
"KBKW","2450","193.33482","111.7","27","IMQU","ILS RW19"
"KBLF","2853","228.74733","109.5","27","IBLF","ILS RW23"
"KJFZ","2653","251.24745","109.75","27","IJFZ","ILS RW25"
"KVJI","2087","240.78085","108.3","27","IVJI","ILS RW24"
"KMKJ","2558","259.13647","110.5","27","IMKJ","ILS RW26"
"KPSK","2093","58","110.9","27","IPSK","ILS RW06"
"KHSP","3763","246.67842","108.7","27","IHSP","ILS RW25"
"KLWB","2281","45.4","110.35","27","ILWB","ILS RW04"
"KROA","1155","72.3","111.1","27","ISZK","ILS RW06"
"KROA","1144","336","109.7","27","IROA","ILS RW34"
"KLYH","887","35.670994","110.1","27","ILYH","ILS RW04"
"KBCB","2120","125.28157","109.1","27","IBCB","ILS RW13"
"KMTV","941","305.36185","111.3","27","IUVM","ILS RW31"
"KDAN","539","25.61251","110.7","27","IDAN","ILS RW02"
"KTRI","1484","49.43934","111.5","27","IBON","ILS RW05"
"KTRI","1515","229.43935","109.9","27","ITRI","ILS RW23"
"KGEV","3178","276.0735","109.35","27","IJUH","ILS RW28"
"KUKF","1249","6.6820326","111.55","27","IUKF","ILS RW01"
"KFQD","1077","8.574949","109.55","27","IFQD","ILS RW01"
"KMRN","1270","30.79979","111.1","27","IMRN","ILS RW03"
"KCLT","695","55.355946","110.95","27","ICLT","ILS RW05"
"KCLT","731","182.98454","111.3","27","IPEP","ILS RW18C"
"KCLT","744","182.98947","110.35","27","IVKQ","ILS RW18L"
"KCLT","734","182.97723","110.15","27","IRGS","ILS RW18R"
"KCLT","738","235.35594","109.5","27","IAPU","ILS RW23"
"KCLT","691","2.9845479","111.7","27","IDQG","ILS RW36C"
"KCLT","732","2.9772313","110.15","27","IXUU","ILS RW36L"
"KCLT","717","2.9894772","108.9","27","IBQC","ILS RW36R"
"KHKY","1173","241.12608","108.7","27","IHKY","ILS RW24"
"KIPJ","865","232.9785","111.15","27","IIPJ","ILS RW23"
"KJQF","690","196.45195","111.95","27","IJQF","ILS RW20"
"KSVH","955","284.87415","111.75","27","ISVH","ILS RW28"
"KGSO","903","53.79216","109.55","27","ILLG","ILS RW05L"
"KGSO","896","53.81592","111.9","27","ILZY","ILS RW05R"
"KGSO","849","233.79216","109.55","27","IIDB","ILS RW23R"
"KGSO","895","325.2","111.15","27","IGFN","ILS RW32"
"KGSO","880","234","109.3","27","IHIH","ILS RW23L"
"KINT","911","332","110.3","27","IINT","ILS RW33"
"KBUY","611","59.917633","111.35","27","IHBJ","ILS RW06"
"KRDU","366","54.00501","109.1","27","IGKK","ILS RW05L"
"KRDU","400","53.98034","109.5","27","IRDU","ILS RW05R"
"KRDU","430","233.98035","108.5","27","ILEI","ILS RW23L"
"KRDU","396","234.005","111.7","27","IDMP","ILS RW23R"
"KTDF","585","60","108.7","27","ITDF","ILS RW06"
"KEXX","719","57.52902","108.75","27","IEXX","ILS RW06"
"KRUQ","766","201.93481","109.95","27","IRUQ","ILS RW20"
"KVUJ","568","223","110.55","27","IVUJ","ILS RW22L"
"KPOB","186","228","110.9","27","IPOB","ILS RW23"
"KSOP","452","54.101837","111.5","27","ISOP","ILS RW05"
"KTTA","240","28.898418","110.75","27","ITTA","ILS RW03"
"KGMU","979","6.215498","109.7","27","IGMU","ILS RW01"
"KGSP","937","38.11468","109.3","27","IGSP","ILS RW04"
"KGSP","956","218.11469","110.7","27","ILMJ","ILS RW22"
"KGYH","951","43.771782","108.3","27","IGYH","ILS RW05"
"KSPA","793","46.349022","109.1","27","ISPA","ILS RW05"
"KUZA","653","16.12671","108.5","27","IUZA","ILS RW02"
"KCAE","210","51.538353","108.95","27","IGJC","ILS RW05"
"KCAE","226","111.72699","110.3","27","ICAE","ILS RW11"
"KCAE","212","291.727","108.3","27","IVYK","ILS RW29"
"KCUB","193","311.59818","110.9","27","ICUB","ILS RW31"
"KMMT","242","322","111.1","27","IMMT","ILS RW32"
"KAFP","292","341.62695","108.55","27","IAFP","ILS RW34"
"KEQY","670","52.905277","109.75","27","IEQY","ILS RW05"
"KFAY","184","38.061966","110.5","27","IGRA","ILS RW04"
"KLBT","122","52.971615","108.95","27","IJBD","ILS RW05"
"KMEB","214","54","110.7","27","IMEB","ILS RW05"
"KFLO","138","88.46857","109.1","27","IFLO","ILS RW09"
"KSMS","175","229.99054","109.35","27","ISMS","ILS RW23"
"KSSC","232","223","108.7","27","IJWU","ILS RW22R"
"KSSC","233","43","110.1","27","ISSC","ILS RW04L"
"KSSC","231","35","110.1","27","IUFO","ILS RW04R"
"KAGS","139","172.2873","111.75","27","IMZX","ILS RW17"
"KAGS","132","352.2873","110.5","27","IAGS","ILS RW35"
"KAIK","506","66.22342","109.9","27","IAIK","ILS RW07"
"KSBO","323","135.64233","109.35","27","ISBO","ILS RW14"
"KTBR","157","320.19846","111.5","27","IBZQ","ILS RW32"
"KRBW","98","228.9247","110.15","27","IRBW","ILS RW23"
"KMYR","22","177.27184","109.5","27","IMYR","ILS RW18"
"KMYR","18","357.27185","111.9","27","IBSQ","ILS RW36"
"KCHS","37","154.52881","109.7","27","ICHS","ILS RW15"
"KCHS","43","334.5288","108.9","27","ICCI","ILS RW33"
"KJZI","13","91","110.7","27","IETI","ILS RW09"
"KVDI","266","249","110.3","27","IVDI","ILS RW25"
"KHXD","19","212.90677","111.3","27","IHXD","ILS RW21"
"KSAV","26","5.6442223","111.9","27","ITPV","ILS RW01"
"KSAV","14","96.61702","109.9","27","ISAV","ILS RW10"
"KSVN","28","276","109.5","27","ISVN","ILS RW28"
"KAYS","138","184.24416","108.3","27","IAYS","ILS RW19"
"KBQK","18","69.21977","108.5","27","IBQK","ILS RW07"
"KJAX","25","76.4272","110.7","27","IJAX","ILS RW08"
"KJAX","24","136.68083","110.5","27","ICZH","ILS RW14"
"KJAX","22","256.42722","110.3","27","IPEK","ILS RW26"
"KCRG","38","321.2542","111.7","27","ICRG","ILS RW32"
"KGNV","106","286.33234","111.3","27","IGNV","ILS RW29"
"KVQQ","66","4.5689726","109.5","27","IVQQ","ILS RW36R"
"KSGJ","4","310.4521","111.1","27","IGUH","ILS RW31"
"KOCF","75","3.934963","111.5","27","IOCF","ILS RW36"
"KDAB","26","70.07867","109.7","27","IDAB","ILS RW07L"
"KDAB","32","250.07866","109.7","27","IDBF","ILS RW25R"
"KBKV","72","93.77644","110.75","27","IOSV","ILS RW09"
"KISM","79","153.22594","109.75","27","IISM","ILS RW15"
"KMCO","94","185.48802","110.95","27","IARK","ILS RW17L"
"KMCO","93","185.47328","111.75","27","IDIZ","ILS RW17R"
"KMCO","89","185.44678","111.9","27","ITFE","ILS RW18R"
"KMCO","84","5.473282","110.5","27","IDDO","ILS RW35L"
"KMCO","87","5.488022","111.15","27","ICER","ILS RW35R"
"KMCO","88","5.46846","110.7","27","IOJP","ILS RW36R"
"KORL","102","72.565094","109.9","27","IORL","ILS RW07"
"KORL","107","252.5651","109.35","27","IEXO","ILS RW25"
"KSFB","50","94.87079","108.9","27","ISND","ILS RW09L"
"KSFB","32","94.90937","111.55","27","IOOS","ILS RW09R"
"KSFB","26","274.8708","110.15","27","IFNU","ILS RW27R"
"KTIX","31","4.1198735","108.7","27","ITIX","ILS RW36"
"KCOF","2","27","109.1","27","ICOF","ILS RW03"
"KCOF","4","207","110.9","27","IPKC","ILS RW21"
"KLAL","131","95.85998","110.1","27","ILAL","ILS RW10"
"KVDF","18","226.24202","111.35","27","IVDF","ILS RW23"
"KMLB","29","93.86101","108.3","27","IMLB","ILS RW09R"
"KPGD","21","35.04378","109.75","27","IPGD","ILS RW04"
"KFPR","20","97.44017","110.55","27","IFJD","ILS RW10R"
"06FA","28","93","111.3","27","ISYK","ILS RW09"
"F45""","20","92.31235","110.75","27","IGHO","ILS RW09R"
"KFMY","13","50.71802","110.7","27","IFMY","ILS RW05"
"KRSW","26","57.947895","111.5","27","IRSW","ILS RW06"
"KFLL","3","96.35458","110.1","27","ILHI","ILS RW10L"
"KFLL","6","96.373634","111.75","27","IFLL","ILS RW10R"
"KFLL","45","276.37363","111.75","27","IADI","ILS RW28L"
"KFLL","5","276.35458","110.7","27","IUDL","ILS RW28R"
"KFXE","12","90.753494","111.1","27","IFXE","ILS RW09"
"KPBI","15","98.78823","111.9","27","IPBI","ILS RW10L"
"KPBI","14","278.78824","111.9","27","IPWB","ILS RW28R"
"KPMP","19","149.80824","109.75","27","IPMP","ILS RW15"
"KHST","5","55","109.9","27","IHST","ILS RW06"
"KMIA","9","92.37867","109.3","27","IROY","ILS RW08L"
"KMIA","4","92.37233","110.3","27","IMFA","ILS RW08R"
"KMIA","8","92.37273","110.9","27","IBUL","ILS RW09"
"KMIA","6","124.60946","108.9","27","IGEM","ILS RW12"
"KMIA","6","272.3723","109.1","27","IVIN","ILS RW26L"
"KMIA","9","272.37866","109.3","27","ICNV","ILS RW26R"
"KMIA","5","272.3727","109.5","27","IMIA","ILS RW27"
"KMIA","7","304.60947","111.7","27","IDCX","ILS RW30"
"KOPF","3","92.909096","110.5","27","IOPF","ILS RW09L"
"KOPF","4","127.97387","111.55","27","IOLX","ILS RW12"
"KOPF","4","272.9091","111.35","27","IPLJ","ILS RW27R"
"KTMB","10","93.29628","108.7","27","ITMB","ILS RW09R"
"MUHA","210","59.234108","110.5","27","IHA","ILS RW06"
"MUVR","295","61.446392","111.3","27","IVR","ILS RW06"
"MPSM","84","348.3379","110.3","27","ASM","ILS RW35"
"SETN","20","185.15227","110.7","27","IES","ILS RW19"
"SEMT","46","238.24202","110.1","27","ILM","ILS RW24"
"SESA","12","311.57822","108.7","27","ISA","ILS RW31"
"SEGU","13","212.94476","110.3","27","ILG","ILS RW21"
"SERO","21","69.702866","111.1","27","ISR","ILS RW07"
"SECU","8256","234.94083","110.9","27","ILC","ILS RW24"
"SPHI","97","187","109.7","27","IJAQ","ILS RW19"
"SPRU","46","18.220694","109.7","27","IMDP","ILS RW02"
"CYVO","1097","182.0305","110.3","27","IVO","ILS RW18"
"CYOW","370","70.996185","109.5","27","IOW","ILS RW07"
"CYOW","367","320.3842","110.3","27","IRP","ILS RW32"
"CYTR","275","62.55187","110.75","27","INT","ILS RW06"
"CYTR","282","242.55186","109.7","27","ITR","ILS RW24"
"KOGS","302","268.94696","110.7","27","IOGS","ILS RW27"
"CYGK","302","188.5642","111.3","27","IGK","ILS RW19"
"KART","311","65.34826","111.1","27","IART","ILS RW07"
"KGTB","679","29","108.5","27","IAEZ","ILS RW03"
"KGTB","659","209","108.5","27","IGTB","ILS RW21"
"KBUF","692","54.812748","108.5","27","IGBI","ILS RW05"
"KBUF","720","234.81274","111.3","27","IBUF","ILS RW23"
"KBUF","710","317.79507","109.95","27","IBNQ","ILS RW32"
"KGVQ","909","281.83163","108.9","27","IGVQ","ILS RW28"
"KROC","525","43.568523","110.7","27","IMCU","ILS RW04"
"KROC","548","223.56853","110.7","27","IMWD","ILS RW22"
